"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"New Vineyard town, Franklin County, Maine","Town","357","444","607","661","725"
"North Franklin UT,Franklin County, Maine","Town","0","60","28","21","41"
"Phillips town, Franklin County, Maine","Town","1,021","979","1,092","1,148","990"
"Rangeley town, Franklin County, Maine","Town","1,087","941","1,023","1,063","1,052"
"Rangeley plantation,Franklin County, Maine","Town","39","52","69","103","123"
"Sandy River plantation,Franklin County, Maine","Town","54","73","50","64","93"
"South Franklin UT,Franklin County, Maine","Town","0","33","48","56","70"
"Strong town, Franklin County, Maine","Town","976","1,132","1,506","1,217","1,259"
"Temple town, Franklin County, Maine","Town","314","367","518","560","572"
"Weld town, Franklin County, Maine","Town","348","360","435","430","402"
"West Central Franklin UT,Franklin County, Maine","Town","0","0","0","0","0"
"Wilton town, Franklin County, Maine","Town","3,274","3,802","4,382","4,242","4,123"
"Wyman UT,Franklin County, Maine","Town","0","0","7","65","70"
"Amherst town, Hancock County, Maine","Town","168","148","203","226","230"
"Aurora town, Hancock County, Maine","Town","75","72","110","82","121"
"Bar Harbor town, Hancock County, Maine","Town","3,807","3,716","4,124","4,443","4,820"
"Blue Hill town, Hancock County, Maine","Town","1,270","1,367","1,644","1,941","2,390"
"Brooklin town, Hancock County, Maine","Town","525","598","619","785","841"
"Brooksville town, Hancock County, Maine","Town","603","673","753","760","911"
"Bucksport town, Hancock County, Maine","Town","3,466","3,756","4,345","4,825","4,908"
"Castine town, Hancock County, Maine","Town","824","1,080","1,304","1,161","1,343"
"Central Hancock UT,Hancock County, Maine","Town","0","110","124","138","138"
"Cranberry Isles town, Hancock County, Maine","Town","181","186","198","189","128"
"Dedham town, Hancock County, Maine","Town","438","522","841","1,229","1,422"
"Deer Isle town, Hancock County, Maine","Town","1,129","1,211","1,492","1,829","1,876"
"Eastbrook town, Hancock County, Maine","Town","167","188","262","289","370"
"East Hancock UT,Hancock County, Maine","Town","0","20","44","40","73"
"Ellsworth city, Hancock County, Maine","Town","4,444","4,603","5,179","5,975","6,456"
"Franklin town, Hancock County, Maine","Town","627","708","979","1,141","1,370"
"Frenchboro town, Hancock County, Maine","Town","57","56","43","44","38"
"Gouldsboro town, Hancock County, Maine","Town","1,100","1,310","1,574","1,986","1,941"
"Great Pond town, Hancock County, Maine","Town","58","43","45","59","47"
"Hancock town, Hancock County, Maine","Town","806","1,070","1,409","1,757","2,147"
"Lamoine town, Hancock County, Maine","Town","484","615","953","1,311","1,495"
"Mariaville town, Hancock County, Maine","Town","144","108","168","270","414"
"Mount Desert town, Hancock County, Maine","Town","1,663","1,659","2,063","1,899","2,109"
"Northwest Hancock UT,Hancock County, Maine","Town","0","0","0","0","4"
"Orland town, Hancock County, Maine","Town","1,195","1,307","1,645","1,805","2,134"
"Osborn town, Hancock County, Maine","Town","36","33","47","72","69"
"Otis town, Hancock County, Maine","Town","100","123","307","355","543"
"Penobscot town, Hancock County, Maine","Town","706","786","1,104","1,131","1,344"
"Sedgwick town, Hancock County, Maine","Town","574","578","795","905","1,102"
"Sorrento town, Hancock County, Maine","Town","196","199","276","295","290"
"Southwest Harbor town, Hancock County, Maine","Town","1,480","1,657","1,855","1,952","1,966"
"Stonington town, Hancock County, Maine","Town","1,408","1,291","1,273","1,252","1,152"
"Sullivan town, Hancock County, Maine","Town","709","824","967","1,118","1,185"
"Surry town, Hancock County, Maine","Town","547","623","894","1,004","1,361"
"Swans Island town, Hancock County, Maine","Town","402","323","337","348","327"
"Tremont town, Hancock County, Maine","Town","1,044","1,003","1,222","1,324","1,529"
"Trenton town, Hancock County, Maine","Town","375","392","718","1,060","1,370"
"Verona town, Hancock County, Maine","Town","435","437","559","515","533"
"Waltham town, Hancock County, Maine","Town","153","167","186","276","306"
"Winter Harbor town, Hancock County, Maine","Town","756","1,028","1,120","1,157","988"
"Albion town, Kennebec County, Maine","Town","974","1,056","1,551","1,736","1,946"
"Augusta city, Kennebec County, Maine","Town","21,680","21,945","21,819","21,325","18,560"
"Belgrade town, Kennebec County, Maine","Town","1,102","1,302","2,043","2,375","2,978"
"Benton town, Kennebec County, Maine","Town","1,521","1,729","2,188","2,312","2,557"
"Chelsea town, Kennebec County, Maine","Town","1,893","2,095","2,522","2,497","2,559"
"China town, Kennebec County, Maine","Town","1,561","1,850","2,918","3,713","4,106"
"Clinton town, Kennebec County, Maine","Town","1,729","1,971","2,696","3,312","3,340"
"Farmingdale town, Kennebec County, Maine","Town","1,941","2,423","2,535","2,918","2,804"
"Fayette town, Kennebec County, Maine","Town","328","447","812","855","1,040"
"Gardiner city, Kennebec County, Maine","Town","6,897","6,685","6,485","6,746","6,198"
"Hallowell city, Kennebec County, Maine","Town","3,169","2,814","2,502","2,534","2,467"
"Litchfield town, Kennebec County, Maine","Town","1,011","1,222","1,954","2,650","3,110"
"Manchester town, Kennebec County, Maine","Town","1,068","1,331","1,949","2,099","2,465"
"Monmouth town, Kennebec County, Maine","Town","1,884","2,062","2,888","3,353","3,785"
"Mount Vernon town, Kennebec County, Maine","Town","596","680","1,021","1,362","1,524"
"Oakland town, Kennebec County, Maine","Town","3,075","3,535","5,162","5,595","5,959"
"Pittston town, Kennebec County, Maine","Town","1,311","1,617","2,267","2,444","2,548"
"Randolph town, Kennebec County, Maine","Town","1,724","1,741","1,834","1,949","1,911"
"Readfield town, Kennebec County, Maine","Town","1,029","1,258","1,943","2,033","2,360"
